date,price,gpu_name
2023-10-21,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-10-22,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-10-23,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-10-24,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-10-25,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-10-26,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-10-27,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-10-28,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-10-29,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-10-30,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-10-31,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-11-01,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-11-02,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-11-03,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-11-04,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-11-05,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-11-06,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-11-07,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-11-08,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-11-09,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-11-10,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-11-11,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-11-12,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-11-13,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-11-14,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-11-15,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-11-16,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-11-17,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-11-18,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-11-19,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-11-20,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-11-21,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-11-22,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-11-23,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-11-24,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-11-25,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-11-26,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-11-27,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-11-28,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-11-29,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-11-30,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-12-01,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-12-02,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-12-03,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-12-04,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-12-05,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
2023-12-06,,Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker
